Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,home_elo,away_elo
1841,1993-12-08,Barcelona,Monaco,2.0,0.0,H,1597.12,1563.08
1842,1994-03-02,Spartak Moscow,Barcelona,2.0,2.0,D,1491.12,1593.72
1843,1994-03-16,Barcelona,Spartak Moscow,5.0,1.0,H,1605.48,1479.36
1844,1994-03-30,Barcelona,Galatasaray,3.0,0.0,H,1616.8,1483.04
1845,1994-04-13,Monaco,Barcelona,0.0,1.0,A,1543.28,1636.6
1846,1994-04-27,Barcelona,Porto,3.0,0.0,H,1646.4,1481.2
1848,2022-09-07,Internazionale,Bayern Munich,0.0,2.0,A,1529.92,1776.24
1849,2022-09-13,Viktoria Plzeň,Internazionale,0.0,2.0,A,1401.32,1546.4
1852,2022-10-26,Internazionale,Viktoria Plzeň,4.0,0.0,H,1556.2,1391.52
1853,2022-11-01,Bayern Munich,Internazionale,2.0,0.0,H,1783.2,1549.24
1854,2023-02-22,Internazionale,Porto,1.0,0.0,H,1562.68,1467.76
1855,2023-03-14,Porto,Internazionale,0.0,0.0,D,1470.32,1560.12
1856,2023-04-11,Benfica,Internazionale,0.0,2.0,A,1554.84,1584.0
1857,2023-04-19,Internazionale,Benfica,3.0,3.0,D,1579.52,1559.32
1858,2023-05-10,Milan,Internazionale,0.0,2.0,A,1598.08,1604.8
1859,2023-05-16,Internazionale,Milan,1.0,0.0,H,1621.56,1581.32
1861,2022-09-06,RB Salzburg,Milan,1.0,1.0,D,1429.28,1575.28
1862,2022-09-14,Milan,Dinamo Zagreb,3.0,1.0,H,1585.08,1419.96
1865,2022-10-25,Dinamo Zagreb,Milan,0.0,4.0,A,1406.36,1598.68
1866,2022-11-02,Milan,RB Salzburg,4.0,0.0,H,1607.48,1420.48
1869,2023-04-12,Milan,Napoli,1.0,0.0,H,1620.76,1523.04
1870,2023-04-18,Napoli,Milan,1.0,1.0,D,1525.76,1618.04
1874,2022-09-14,Juventus,Benfica,1.0,2.0,A,1678.32,1589.68
1875,2022-10-05,Juventus,Maccabi Haifa,3.0,1.0,H,1686.04,1472.6
1876,2022-10-11,Maccabi Haifa,Juventus,2.0,0.0,H,1501.36,1657.28
1877,2022-10-25,Benfica,Juventus,4.0,3.0,H,1610.68,1636.28
1881,2021-10-19,Porto,Milan,1.0,0.0,H,1495.8,1592.56
1882,2021-11-03,Milan,Porto,1.0,1.0,D,1584.6,1503.76
1886,2021-09-28,Shakhtar,Internazionale,0.0,0.0,D,1550.24,1620.24
1887,2021-10-19,Internazionale,Sheriff Tiraspol,3.0,1.0,H,1632.04,1507.28
1888,2021-11-03,Sheriff Tiraspol,Internazionale,1.0,3.0,A,1491.52,1647.8
1889,2021-11-24,Internazionale,Shakhtar,2.0,0.0,H,1659.8,1538.24
1893,2021-09-14,Malmö,Juventus,0.0,3.0,A,1407.28,1647.32
1895,2021-10-20,Zenit,Juventus,0.0,1.0,A,1456.92,1660.28
1896,2021-11-02,Juventus,Zenit,4.0,2.0,H,1667.84,1449.36
1898,2021-12-08,Juventus,Malmö,1.0,0.0,H,1673.56,1401.56
1899,2022-02-22,Villarreal,Juventus,1.0,1.0,D,1463.56,1664.52
1900,2022-03-16,Juventus,Villarreal,0.0,3.0,A,1632.16,1495.92
1901,2020-10-21,Internazionale,M'Gladbach,2.0,2.0,D,1647.44,1470.84
1902,2020-10-27,Shakhtar,Internazionale,0.0,0.0,D,1541.6,1644.08
1905,2020-12-01,M'Gladbach,Internazionale,2.0,3.0,A,1457.64,1657.28
1906,2020-12-09,Internazionale,Shakhtar,0.0,0.0,D,1648.4,1550.48
1907,2020-10-20,Dynamo Kyiv,Juventus,0.0,2.0,A,1504.68,1648.68
1909,2020-11-04,Ferencváros,Juventus,1.0,4.0,A,1460.32,1661.76
1910,2020-11-24,Juventus,Ferencváros,2.0,1.0,H,1669.36,1452.72
1911,2020-12-02,Juventus,Dynamo Kyiv,3.0,0.0,H,1678.36,1495.68
1913,2021-02-17,Porto,Juventus,2.0,1.0,H,1530.64,1651.48
1914,2021-03-09,Juventus,Porto,3.0,2.0,H,1662.36,1519.76
1916,2019-10-01,Juventus,Leverkusen,3.0,0.0,H,1671.8,1499.12
1917,2019-10-22,Juventus,Loko Moscow,2.0,1.0,H,1679.48,1464.12
1918,2019-11-06,Loko Moscow,Juventus,1.0,2.0,A,1452.96,1690.64
1920,2019-12-11,Leverkusen,Juventus,0.0,2.0,A,1486.84,1702.92
1921,2020-02-26,Lyon,Juventus,1.0,0.0,H,1602.12,1678.68
1922,2020-08-07,Juventus,Lyon,2.0,1.0,H,1691.72,1589.08
1923,2019-09-17,Internazionale,Slavia Prague,1.0,1.0,D,1637.84,1505.28
1925,2019-10-23,Internazionale,Dortmund,2.0,0.0,H,1652.52,1578.32
1926,2019-11-05,Dortmund,Internazionale,3.0,2.0,H,1599.72,1631.12
1927,2019-11-27,Slavia Prague,Internazionale,1.0,3.0,A,1489.56,1646.84
1929,2018-09-19,Valencia,Juventus,0.0,2.0,A,1573.96,1708.84
1930,2018-10-02,Juventus,Young Boys,3.0,0.0,H,1715.72,1478.52
1933,2018-11-27,Juventus,Valencia,1.0,0.0,H,1725.68,1564.0
1934,2018-12-12,Young Boys,Juventus,2.0,1.0,H,1508.8,1695.4
1937,2019-04-10,Ajax,Juventus,1.0,1.0,D,1571.24,1690.96
1938,2019-04-16,Juventus,Ajax,1.0,2.0,A,1661.88,1600.32
1940,2018-10-03,PSV,Internazionale,1.0,2.0,A,1449.28,1659.44
1944,2018-12-11,Internazionale,PSV,1.0,1.0,D,1646.76,1461.96
1946,2017-09-27,Juventus,Olympiacos,2.0,0.0,H,1670.56,1479.88
1947,2017-10-18,Juventus,Sporting CP,2.0,1.0,H,1676.8,1420.88
1948,2017-10-31,Sporting CP,Juventus,1.0,1.0,D,1431.52,1666.16
1950,2017-12-05,Olympiacos,Juventus,0.0,2.0,A,1467.36,1678.68
1955,2016-09-14,Juventus,Sevilla,0.0,0.0,D,1667.12,1510.72
1956,2016-09-27,Dinamo Zagreb,Juventus,0.0,4.0,A,1397.2,1676.28
1957,2016-10-18,Lyon,Juventus,0.0,1.0,A,1571.2,1694.16
1958,2016-11-02,Juventus,Lyon,1.0,1.0,D,1684.96,1580.4
1959,2016-11-22,Sevilla,Juventus,1.0,3.0,A,1497.6,1698.08
